# X,Y,Z,PX,PY
1.300000000000000000e+02,-1.200000000000000000e+02,2.500000000000000000e+01,8.574248928296053691e+02,1.045537057684769707e+03
1.300000000000000000e+02,-1.200000000000000000e+02,4.500000000000000000e+01,8.505878544050431174e+02,1.033101058132164553e+03
1.300000000000000000e+02,-1.200000000000000000e+02,6.500000000000000000e+01,8.432519811531551568e+02,1.020724257415832653e+03
1.300000000000000000e+02,-6.000000000000000000e+01,2.500000000000000000e+01,8.332614647725895338e+02,8.269809343005534856e+02
1.300000000000000000e+02,-6.000000000000000000e+01,4.500000000000000000e+01,8.246182078321614881e+02,8.052522866966918400e+02
1.300000000000000000e+02,-6.000000000000000000e+01,6.500000000000000000e+01,8.175674189313913303e+02,7.825518301907679870e+02
1.300000000000000000e+02,0.000000000000000000e+00,2.500000000000000000e+01,8.115887486451224504e+02,6.380477560250277520e+02
1.300000000000000000e+02,0.000000000000000000e+00,4.500000000000000000e+01,8.023790318619566051e+02,6.096881709487112175e+02
1.300000000000000000e+02,0.000000000000000000e+00,6.500000000000000000e+01,7.954294028376265260e+02,5.791544487215397794e+02
1.300000000000000000e+02,6.000000000000000000e+01,2.500000000000000000e+01,7.933691454145847501e+02,4.709989500145897523e+02
1.300000000000000000e+02,6.000000000000000000e+01,4.500000000000000000e+01,7.843313660985379556e+02,4.391440345648084076e+02
1.300000000000000000e+02,6.000000000000000000e+01,6.500000000000000000e+01,7.764006009631484631e+02,4.023154657571691359e+02
1.300000000000000000e+02,1.200000000000000000e+02,2.500000000000000000e+01,7.785394249038505450e+02,3.227012273769689727e+02
1.300000000000000000e+02,1.200000000000000000e+02,4.500000000000000000e+01,7.704279182740466467e+02,2.857876911426732818e+02
1.300000000000000000e+02,1.200000000000000000e+02,6.500000000000000000e+01,7.611731350926903588e+02,2.464316843767135481e+02
1.750000000000000000e+02,-1.200000000000000000e+02,2.500000000000000000e+01,1.023436786369400920e+03,1.021857995972980348e+03
1.750000000000000000e+02,-1.200000000000000000e+02,4.500000000000000000e+01,1.025407935797416712e+03,1.008747233750426403e+03
1.750000000000000000e+02,-1.200000000000000000e+02,6.500000000000000000e+01,1.027407062331801626e+03,9.947333005984738747e+02
1.750000000000000000e+02,-6.000000000000000000e+01,2.500000000000000000e+01,9.895445560514893941e+02,8.070348288510602970e+02
1.750000000000000000e+02,-6.000000000000000000e+01,4.500000000000000000e+01,9.893546200480841435e+02,7.847437991509665380e+02
